[root@diallog ~]# sudo tcpdump -i eth0 -n udp portrange 10000-20000
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
18:26:58.391182 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.410861 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.431525 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.451203 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.471866 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.492529 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.512208 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.531888 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.552551 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.572230 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.591908 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.612572 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.632251 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.651929 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.672591 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.692271 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.711949 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.731671 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.752292 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.771971 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.791652 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.812325 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.832000 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.848721 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.869381 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.889060 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.908739 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.929401 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.950067 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.969745 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:58.990414 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.010085 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.029764 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.051412 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.071090 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.090769 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.111437 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.131113 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.150792 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.171453 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.191134 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.210812 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.232459 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.252138 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.271817 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.292480 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.312158 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.331837 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.352502 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.372180 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.391858 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.409569 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.429248 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.448927 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.469590 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.489269 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.508949 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.530594 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.550274 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.569953 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.589632 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.610294 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.629973 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.649653 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.670315 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.689994 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.710657 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.731338 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.751001 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.770678 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.791341 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.811019 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.831682 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.852348 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:26:59.872025 IP 10.33.0.55.18168 > 10.1.2.112.14364: UDP, length 172
18:27:02.509012 IP 10.33.0.55.18169 > 10.1.2.112.14365: UDP, length 64
18:27:02.545774 IP 10.1.2.112.14365 > 10.33.0.55.18169: UDP, length 100
18:27:07.509441 IP 10.33.0.55.18169 > 10.1.2.112.14365: UDP, length 44
18:27:07.546049 IP 10.1.2.112.14365 > 10.33.0.55.18169: UDP, length 80
18:27:12.508867 IP 10.33.0.55.18169 > 10.1.2.112.14365: UDP, length 44
18:27:12.546255 IP 10.1.2.112.14365 > 10.33.0.55.18169: UDP, length 80
